Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,Comments,isPopularStream,Stream
0.628,0.689,11,-4.179,0.027,0.0307,0,0.109,0.37,105.959,213221,75203,1533,0,15062982
0.622,0.94,2,-4.997,0.0413,0.0094,6.48E-06,0.0957,0.96,158.056,264127,140422,3969,0,27876546
0.469,0.323,7,-9.317,0.028,0.789,0,0.122,0.423,92.217,280880,7208,177,0,6622172
0.657,0.604,5,-4.888,0.0326,0.291,0,0.219,0.801,157.979,191253,29336,364,0,9888894
0.69,0.5,4,-16.145,0.0909,0.598,0.0288,0.11,0.586,191.539,236093,46993,1639,0,64692929
0.477,0.712,7,-6.759,0.0653,0.224,8.36E-06,0.118,0.407,109.965,224400,11285,372,0,108134173
0.777,0.782,0,-4.435,0.0907,0.0505,0,0.64,0.773,94.023,221653,3585687,94467,1,636183962
0.656,0.577,10,-5.566,0.0802,0.698,0,0.296,0.861,173.094,181522,827483,17127,1,271394891
0.451,0.973,8,-2.611,0.0514,0.00428,7.36E-06,0.0924,0.628,151.885,225880,121519,4255,0,65639439
0.482,0.537,8,-13.679,0.0457,0.278,2.17E-06,0.117,0.597,144.218,254333,4321,134,0,15109096
0.836,0.69,0,-5.816,0.123,0.0142,1.22E-05,0.112,0.586,104.004,263293,304454,13145,0,106581679
0.595,0.386,5,-6.442,0.0377,0.455,0,0.131,0.864,145.059,137093,6255,138,0,13231791
0.554,0.47,8,-6.604,0.0548,0.77,2.60E-06,0.106,0.346,95.598,212480,13905,770,0,21098857
0.197,0.956,10,-2.908,0.0663,7.61E-05,0.00992,0.261,0.209,177.018,244773,213946,14436,1,169592755
0.799,0.783,11,-7.703,0.0847,0.0519,0.0213,0.127,0.918,97.207,247587,122020,7323,0,52452407
0.778,0.805,8,-3.195,0.0824,0.121,1.36E-06,0.206,0.772,172.005,195693,31497,1007,0,865031
0.356,0.47,5,-8.929,0.0278,0.518,1.00E-05,0.0807,0.167,93.895,316500,536769,13622,0,37640320
