Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Likes,Comments,isPopularViews,Views
0.466,0.526,0,-6.535,0.0489,0.958,0.204,0.0419,0.597,148.73,258360,32431,2537,0,7043571
0.319,0.21,1,-15.231,0.0341,0.92,8.06E-05,0.138,0.209,78.696,192160,108929,1817,0,11435221
0.751,0.681,9,-6.105,0.109,0.106,0.000108,0.374,0.0648,92.871,268200,1115,250,0,148527
0.745,0.715,1,-3.368,0.246,0.128,0,0.182,0.342,94.511,136032,15912,376,0,1464192
0.861,0.411,4,-11.362,0.222,0.0331,0.807,0.225,0.544,96.283,188760,71049,1979,0,7976020
0.67,0.922,5,-4.496,0.0779,0.138,0.00643,0.0544,0.964,77.677,201360,24508,556,0,4625811
0.712,0.898,4,-4.893,0.0336,0.0485,7.76E-06,0.148,0.961,124.409,228867,151274,5684,0,40815930
0.702,0.579,8,-8.406,0.206,0.0232,0,0.892,0.469,81.472,275587,167607,5896,0,31262672
0.682,0.764,1,-5.411,0.0477,0.0363,0,0.103,0.701,97.023,192721,1280736,29053,0,90331648
0.528,0.435,5,-9.699,0.0347,0.705,2.98E-05,0.103,0.293,172.115,264934,157496,2160,0,8347508
0.572,0.899,4,-6.485,0.58,0.52,0,0.692,0.552,86.472,319053,384065,10692,1,150187490
0.553,0.284,0,-15.602,0.0317,0.45,3.48E-06,0.114,0.374,136.112,224600,29142,1212,0,2982763
0.716,0.723,7,-4.845,0.0298,0.0793,0,0.517,0.685,115.077,173933,48433,1181,0,9832163
0.65,0.315,6,-13.781,0.0388,0.851,0.000261,0.123,0.578,125.231,194000,35807,576,0,1870898
0.607,0.979,8,-1.884,0.0957,0.462,0,0.407,0.962,179.95,208600,611392,10359,1,138782658
0.365,0.55,9,-7.218,0.0346,0.74,0,0.423,0.593,106.111,212747,4396,205,0,664740
0.682,0.949,2,-5.401,0.0422,0.563,0.00403,0.337,0.96,101.976,258187,12900,321,0,1682747
0.602,0.681,1,-6.976,0.0517,0.468,0,0.068,0.505,89.923,229720,212251,5340,0,54247539
0.774,0.742,8,-4.178,0.0766,0.473,0.000472,0.342,0.736,134.991,194023,1723014,35345,1,190188913
0.471,0.561,11,-7.068,0.03,0.0472,1.91E-06,0.122,0.215,99.808,190759,21598,352,0,658144
0.35,0.241,4,-15.806,0.0385,0.458,0.2,0.308,0.0691,90.071,248707,69731,5556,0,6737560
0.704,0.482,9,-5.352,0.0349,0.211,0,0.3,0.604,102.01,198529,542348,11111,1,121169170
0.0818,0.0218,0,-28.778,0.0409,0.965,0.841,0.104,0.0616,172.879,374733,7895,214,0,506575
0.753,0.233,7,-16.193,0.0468,0.74,7.37E-06,0.0977,0.775,131.264,222760,34465,762,0,10204971
0.454,0.543,0,-3.662,0.034,0.568,0,0.276,0.636,208.5,255048,30050,942,0,2662063
0.657,0.691,8,-7.907,0.236,0.213,0,0.099,0.493,160.106,237157,5878,162,0,516147
0.58,0.47,3,-11.923,0.0337,0.863,0.934,0.11,0.43,111.459,125933,6611,304,0,224169
0.639,0.703,4,-6.33,0.0794,0.0889,1.78E-06,0.0865,0.138,169.888,207301,1936701,40031,1,204264534
0.457,0.834,5,-4.674,0.0817,0.00252,0.00125,0.1,0.201,140.032,204677,3832,49,0,121676
0.786,0.808,7,-3.702,0.0881,0.0846,0.000289,0.0822,0.608,105.029,301714,8391948,306590,1,1977192357
0.571,0.468,0,-11.423,0.0371,0.0107,0.0721,0.108,0.0307,140.034,290571,48283,1110,0,1566827
